feature,importance
Contract_Month-to-month,0.1254893741103466
OnlineSecurity_No,0.11698572684761147
PaymentMethod_Electronic check,0.07138524852122365
TechSupport_No,0.06426914166410151
Contract_Two year,0.05872447913807351
tenure,0.045496637370297834
InternetService_Fiber optic,0.03602750495348554
TotalCharges,0.03466640140481528
OnlineBackup_No,0.033643479900251155
AvgMonthlySpend,0.02869008165934712
Contract_One year,0.02777769956472028
MonthlyCharges,0.026781231598716468
TenureGroup_0-12,0.02666029496026967
IsNewCustomer,0.025575013239186237
TenureGroup_49-72,0.02515794831670668
OnlineSecurity_Yes,0.022705403789434798
DeviceProtection_No,0.0191565280292415
PaperlessBilling_Yes,0.01709969426198383
PaperlessBilling_No,0.016940500010465955
TechSupport_Yes,0.013130712813082894
